Date,Vendor,Item,Qty,Unit Price,Line Total
03/10/2023,Tony's Pizza,party pizza,3,"$31.00",93.00
03/10/2023,Theme Party Decor Co,themed decor kit,2,32.00,64.00
3/7/23,Party Time Balloons,balloon arch,1,"$38.00",38.00
03/07/2023,Party Time Balloons,centerpiece,6,"$6.50",39.00
2023-03-07,TONY'S PIZZA CO,Party Pizza,3,31.00,93.00
2023-03-07,THEME PARTY DECOR CO.,Themed Decor Kit,2,32.00,64.00
3/3/23,PARTY TIME BALLOONS,balloon arch,1,"$38.00",38.00
03/03/2023,PARTY TIME BALLOONS,centerpiece,7,6.50,45.50
03/03/2023,TONY'S PIZZA CO,PARTY PIZZA,5,31.00,"$155.00"
2023-03-03,Theme Party Decor Co,Themed Decor Kit,2,32.00,"$64.00"
2023-03-13,PARTY TIME BALLOONS,balloon arch,1,"$38.00",38.00
03/13/2023,PARTY TIME BALLOONS,Centerpiece,5,6.50,32.50
3/13/23,Tony's Pizza,Party Pizza,4,"$31.00",124.00
03/13/2023,Theme Party Decor Co,themed decor kit,1,32.00,"$32.00"
3/20/23,PARTY TIME BALLOONS,BALLOON ARCH,1,38.00,38.00
3/20/23,PARTY TIME BALLOONS,Centerpiece,2,6.50,13.00
3/20/23,Tonys Pizza,PARTY PIZZA,4,31.00,"$124.00"
3/20/23,Theme Party Decor,themed decor kit,2,"$32.00",64.00
2023-03-01,PARTY TIME BALLOONS,BALLOON ARCH,1,38.00,"$38.00"
2023-03-01,PARTY TIME BALLOONS,centerpiece,6,6.50,39.00
3/1/23,Tonys Pizza,Party Pizza,4,31.00,124.00
03/01/2023,Theme Party Decor,Themed Decor Kit,2,32.00,64.00
3/7/23,Party Time Balloons LLC,BALLOON ARCH,1,38.00,"$38.00"
3/7/23,Party Time Balloons LLC,Centerpiece,6,6.50,39.00
03/07/2023,TONY'S PIZZA CO,PARTY PIZZA,3,"$31.00","$93.00"
03/07/2023,THEME PARTY DECOR CO.,Themed Decor Kit,1,32.00,"$32.00"
03/02/2023,Roast House Coffee Co.,Whole Bean 5lb,3,45.83,137.48
3/2/23,Roast House Coffee Co.,Snack Pack,3,"$12.00",36.00
03/21/2023,Roast House Coffee Co.,Whole Bean 5lb,2,"$45.30","$90.61"
2023-03-21,Roast House Coffee Co.,Snack Pack,2,"$12.00",24.00
03/26/2023,CleanCo Supply Inc,cleaning supplies,1,"$50.10","$50.10"
04/18/2023,Party Time Balloon Co.,BALLOON ARCH,1,38.00,"$38.00"
04/18/2023,Party Time Balloon Co.,Centerpiece,6,6.50,39.00
04/18/2023,Tony's Pizza,Party Pizza,3,"$31.00","$93.00"
2023-04-18,Theme Party Decor Co,Themed Decor Kit,2,32.00,64.00
4/14/23,Party Time Balloons LLC,BALLOON ARCH,1,38.00,38.00
4/14/23,Party Time Balloons LLC,Centerpiece,6,"$6.50","$39.00"
2023-04-14,Tonys Pizza,PARTY PIZZA,3,31.00,"$93.00"
2023-04-14,Theme Party Decor Co,themed decor kit,2,32.00,"$64.00"
4/13/23,Party Time Balloons,Balloon Arch,1,38.00,38.00
4/13/23,Party Time Balloons,centerpiece,4,"$6.50",26.00
04/13/2023,Tony's Pizza Co.,Party Pizza,3,31.00,"$93.00"
4/13/23,THEME PARTY DECOR CO.,Themed Decor Kit,1,32.00,32.00
2023-04-09,Party Time Balloon Co.,BALLOON ARCH,1,"$38.00","$38.00"
04/09/2023,Party Time Balloon Co.,centerpiece,7,"$6.50",45.50
4/9/23,Tony's Pizza,party pizza,5,31.00,"$155.00"
2023-04-09,Theme Party Decor,Themed Decor Kit,2,32.00,64.00
04/17/2023,Party Time Balloons,balloon arch,1,"$38.00","$38.00"
04/17/2023,Party Time Balloons,centerpiece,6,6.50,"$39.00"
4/17/23,TONY'S PIZZA CO,PARTY PIZZA,4,"$31.00","$124.00"
2023-04-17,Theme Party Decor Co,Themed Decor Kit,2,"$32.00","$64.00"
04/02/2023,PARTY TIME BALLOONS,Balloon Arch,1,38.00,"$38.00"
4/2/23,PARTY TIME BALLOONS,centerpiece,4,6.50,"$26.00"
4/2/23,Tony's Pizza,Party Pizza,4,"$31.00",124.00
04/02/2023,THEME PARTY DECOR CO.,themed decor kit,2,32.00,"$64.00"
2023-04-27,Party Time Balloons,Balloon Arch,1,"$38.00",38.00
2023-04-27,Party Time Balloons,Centerpiece,2,"$6.50",13.00
04/27/2023,TONY'S PIZZA CO,PARTY PIZZA,5,31.00,155.00
4/27/23,THEME PARTY DECOR CO.,themed decor kit,2,32.00,64.00
2023-04-07,Party Time Balloons LLC,balloon arch,1,38.00,38.00
04/07/2023,Party Time Balloons LLC,centerpiece,6,"$6.50",39.00
4/7/23,Tony's Pizza Co.,PARTY PIZZA,4,31.00,"$124.00"
2023-04-07,Theme Party Decor,themed decor kit,1,"$32.00",32.00
2023-04-06,Party Time Balloons,balloon arch,1,38.00,"$38.00"
04/06/2023,Party Time Balloons,Centerpiece,6,6.50,"$39.00"
4/6/23,Tony's Pizza,Party Pizza,2,"$31.00","$62.00"
04/06/2023,THEME PARTY DECOR CO.,themed decor kit,2,"$32.00",64.00
4/7/23,Roast House Coffee Co.,whole bean 5lb,2,"$45.82","$91.63"
04/07/2023,Roast House Coffee Co.,snack pack,2,"$12.00","$24.00"
04/20/2023,Roast House Coffee Co.,whole bean 5lb,2,46.36,"$92.72"
04/20/2023,Roast House Coffee Co.,Snack Pack,4,12.00,"$48.00"
2023-04-27,CleanCo Supply,cleaning supplies,1,51.32,51.32
,,MONTH TOTAL,,,1817.01
2023-05-06,Party Time Balloon Co.,BALLOON ARCH,1,"$38.00",38.00
2023-05-06,Party Time Balloon Co.,centerpiece,3,6.50,19.50
05/06/2023,Tony's Pizza Co.,PARTY PIZZA,4,"$31.00",124.00
5/6/23,Theme Party Decor,Themed Decor Kit,2,32.00,"$64.00"
05/21/2023,Party Time Balloons,BALLOON ARCH,1,38.00,38.00
5/21/23,Party Time Balloons,centerpiece,5,6.50,"$32.50"
5/21/23,Tony's Pizza,Party Pizza,3,31.00,"$93.00"
2023-05-21,Theme Party Decor,Themed Decor Kit,2,"$32.00","$64.00"
2023-05-26,Party Time Balloons,balloon arch,1,"$38.00",38.00
05/26/2023,Party Time Balloons,Centerpiece,6,6.50,"$39.00"
5/26/23,Tony's Pizza,Party Pizza,4,31.00,"$124.00"
2023-05-26,THEME PARTY DECOR CO.,themed decor kit,2,32.00,"$64.00"
05/16/2023,Party Time Balloons,BALLOON ARCH,1,38.00,"$38.00"
2023-05-16,Party Time Balloons,Centerpiece,5,"$6.50",32.50
2023-05-16,TONY'S PIZZA CO,PARTY PIZZA,5,31.00,"$155.00"
05/16/2023,Theme Party Decor Co,Themed Decor Kit,1,32.00,32.00
5/20/23,PARTY TIME BALLOONS,Balloon Arch,1,38.00,"$38.00"
2023-05-20,PARTY TIME BALLOONS,Centerpiece,6,6.50,"$39.00"
5/20/23,Tony's Pizza Co.,PARTY PIZZA,4,"$31.00","$124.00"
5/20/23,THEME PARTY DECOR CO.,themed decor kit,2,32.00,"$64.00"
2023-05-20,Party Time Balloon Co.,Balloon Arch,1,"$38.00","$38.00"
5/20/23,Party Time Balloon Co.,Centerpiece,6,6.50,39.00
05/20/2023,Tonys Pizza,party pizza,3,31.00,"$93.00"
2023-05-20,Theme Party Decor,Themed Decor Kit,2,32.00,"$64.00"
5/16/23,Party Time Balloon Co.,balloon arch,1,"$38.00",38.00
5/16/23,Party Time Balloon Co.,Centerpiece,5,6.50,32.50
2023-05-16,Tony's Pizza Co.,PARTY PIZZA,4,31.00,124.00
05/16/2023,Theme Party Decor Co,themed decor kit,2,32.00,64.00
2023-05-18,Party Time Balloons LLC,balloon arch,1,"$38.00",38.00
2023-05-18,Party Time Balloons LLC,Centerpiece,6,"$6.50","$39.00"
05/18/2023,Tony's Pizza,party pizza,3,31.00,"$93.00"
5/18/23,Theme Party Decor,Themed Decor Kit,2,"$32.00","$64.00"
5/29/23,Party Time Balloons LLC,Balloon Arch,1,"$38.00",38.00
05/29/2023,Party Time Balloons LLC,centerpiece,7,6.50,"$45.50"
5/29/23,TONY'S PIZZA CO,party pizza,4,"$31.00","$124.00"
5/29/23,Theme Party Decor,Themed Decor Kit,2,32.00,"$64.00"
5/8/23,Roast House Coffee Co.,Whole Bean 5lb,1,"$46.88","$46.88"
2023-05-08,Roast House Coffee Co.,snack pack,2,"$12.00",24.00
2023-05-18,ROAST HOUSE COFFEE,whole bean 5lb,1,"$44.63",44.63
2023-05-18,ROAST HOUSE COFFEE,Snack Pack,2,"$12.00",24.00
05/26/2023,CleanCo Supply Inc,cleaning supplies,1,"$51.25","$51.25"
5/11/23,Playworks Toys,Play Equipment,3,"$51.29",153.88
2023-06-05,PARTY TIME BALLOONS,balloon arch,1,"$38.00","$38.00"
06/05/2023,PARTY TIME BALLOONS,Centerpiece,4,6.50,26.00
6/5/23,Tony's Pizza,Party Pizza,3,"$31.00",93.00
6/5/23,Theme Party Decor Co,Themed Decor Kit,1,32.00,32.00
06/03/2023,Party Time Balloons,balloon arch,1,"$38.00","$38.00"
06/03/2023,Party Time Balloons,Centerpiece,5,"$6.50",32.50
06/03/2023,TONY'S PIZZA CO,PARTY PIZZA,4,31.00,124.00
2023-06-03,Theme Party Decor Co,Themed Decor Kit,2,32.00,"$64.00"
6/9/23,Party Time Balloons LLC,BALLOON ARCH,1,"$38.00",38.00
06/09/2023,Party Time Balloons LLC,Centerpiece,4,6.50,26.00
2023-06-09,TONY'S PIZZA CO,Party Pizza,4,"$31.00","$124.00"
2023-06-09,Theme Party Decor,Themed Decor Kit,2,32.00,"$64.00"
2023-06-14,Party Time Balloons LLC,balloon arch,1,38.00,"$38.00"
6/14/23,Party Time Balloons LLC,Centerpiece,3,6.50,19.50
06/14/2023,Tonys Pizza,party pizza,3,"$31.00",93.00
2023-06-14,Theme Party Decor,themed decor kit,2,32.00,"$64.00"
6/20/23,Party Time Balloons,BALLOON ARCH,1,38.00,38.00
2023-06-20,Party Time Balloons,Centerpiece,3,6.50,19.50
06/20/2023,Tony's Pizza Co.,party pizza,2,31.00,"$62.00"
2023-06-20,Theme Party Decor,themed decor kit,2,"$32.00","$64.00"
6/1/23,Party Time Balloon Co.,BALLOON ARCH,1,"$38.00",38.00
2023-06-01,Party Time Balloon Co.,centerpiece,2,"$6.50",13.00
6/1/23,Tonys Pizza,Party Pizza,2,31.00,62.00
6/1/23,Theme Party Decor Co,Themed Decor Kit,2,32.00,64.00
06/28/2023,PARTY TIME BALLOONS,BALLOON ARCH,1,38.00,38.00
06/28/2023,PARTY TIME BALLOONS,Centerpiece,3,6.50,"$19.50"
06/28/2023,Tonys Pizza,Party Pizza,4,"$31.00",124.00
06/28/2023,Theme Party Decor,Themed Decor Kit,2,32.00,64.00
06/09/2023,Party Time Balloon Co.,Balloon Arch,1,38.00,"$38.00"
2023-06-09,Party Time Balloon Co.,centerpiece,5,6.50,"$32.50"
06/09/2023,Tony's Pizza,party pizza,4,31.00,124.00
06/09/2023,Theme Party Decor,Themed Decor Kit,2,32.00,64.00
06/17/2023,PARTY TIME BALLOONS,Balloon Arch,1,38.00,38.00
06/17/2023,PARTY TIME BALLOONS,centerpiece,3,6.50,19.50
06/17/2023,TONY'S PIZZA CO,PARTY PIZZA,5,31.00,155.00
6/17/23,Theme Party Decor,themed decor kit,1,32.00,32.00
06/06/2023,PARTY TIME BALLOONS,Balloon Arch,1,"$38.00",38.00
6/6/23,PARTY TIME BALLOONS,Centerpiece,3,"$6.50",19.50
6/6/23,Tony's Pizza Co.,Party Pizza,4,"$31.00","$124.00"
6/6/23,Theme Party Decor,Themed Decor Kit,2,"$32.00",64.00
6/2/23,Roast House Coffee Co.,whole bean 5lb,1,"$45.43","$45.43"
2023-06-02,Roast House Coffee Co.,Snack Pack,4,"$12.00","$48.00"
6/20/23,ROAST HOUSE COFFEE,whole bean 5lb,2,47.21,94.43
06/20/2023,ROAST HOUSE COFFEE,Snack Pack,3,12.00,36.00
6/24/23,CleanCo Supply,cleaning supplies,1,51.77,51.77
2023-07-18,Party Time Balloon Co.,BALLOON ARCH,1,"$38.00",38.00
07/18/2023,Party Time Balloon Co.,Centerpiece,6,6.50,39.00
2023-07-18,TONY'S PIZZA CO,Party Pizza,4,"$34.00","$136.00"
7/18/23,THEME PARTY DECOR CO.,Themed Decor Kit,2,32.00,"$64.00"
2023-07-08,Party Time Balloons,balloon arch,1,38.00,38.00
7/8/23,Party Time Balloons,Centerpiece,6,6.50,39.00
2023-07-08,Tony's Pizza,Party Pizza,5,34.00,"$170.00"
2023-07-08,Theme Party Decor,themed decor kit,2,"$32.00",64.00
7/29/23,Party Time Balloon Co.,balloon arch,1,"$38.00",38.00
7/29/23,Party Time Balloon Co.,centerpiece,6,6.50,39.00
7/29/23,Tony's Pizza Co.,PARTY PIZZA,4,"$34.00","$136.00"
7/29/23,THEME PARTY DECOR CO.,themed decor kit,2,"$32.00",64.00
2023-07-12,Party Time Balloons LLC,balloon arch,1,38.00,"$38.00"
07/12/2023,Party Time Balloons LLC,Centerpiece,3,6.50,19.50
07/12/2023,TONY'S PIZZA CO,Party Pizza,4,34.00,136.00
07/12/2023,Theme Party Decor,Themed Decor Kit,2,"$32.00","$64.00"
07/06/2023,Party Time Balloon Co.,BALLOON ARCH,1,38.00,"$38.00"
7/6/23,Party Time Balloon Co.,Centerpiece,3,6.50,19.50
07/06/2023,TONY'S PIZZA CO,party pizza,3,34.00,102.00
2023-07-06,THEME PARTY DECOR CO.,themed decor kit,2,32.00,"$64.00"
2023-07-07,Party Time Balloons,Balloon Arch,1,38.00,"$38.00"
7/7/23,Party Time Balloons,Centerpiece,4,"$6.50",26.00
07/07/2023,Tony's Pizza,PARTY PIZZA,5,"$34.00",170.00
2023-07-07,Theme Party Decor,themed decor kit,2,32.00,64.00
7/11/23,PARTY TIME BALLOONS,balloon arch,1,38.00,"$38.00"
07/11/2023,PARTY TIME BALLOONS,Centerpiece,6,6.50,39.00
7/11/23,Tony's Pizza Co.,party pizza,2,34.00,68.00
7/11/23,THEME PARTY DECOR CO.,Themed Decor Kit,2,32.00,64.00
2023-07-16,Party Time Balloon Co.,Balloon Arch,1,38.00,38.00
2023-07-16,Party Time Balloon Co.,centerpiece,6,"$6.50",39.00
7/16/23,TONY'S PIZZA CO,Party Pizza,3,"$34.00",102.00
7/16/23,Theme Party Decor,Themed Decor Kit,2,32.00,"$64.00"
07/10/2023,Party Time Balloons,Balloon Arch,1,38.00,"$38.00"
2023-07-10,Party Time Balloons,centerpiece,2,"$6.50","$13.00"
07/10/2023,Tony's Pizza,party pizza,4,34.00,136.00
07/10/2023,Theme Party Decor Co,themed decor kit,2,"$32.00",64.00
7/3/23,Roast House Coffee Co.,Whole Bean 5lb,1,"$45.04",45.04
2023-07-03,Roast House Coffee Co.,snack pack,3,12.00,36.00
2023-07-21,Roast House Coffee Co.,Whole Bean 5lb,1,44.94,44.94
7/21/23,Roast House Coffee Co.,snack pack,4,"$12.00",48.00
07/24/2023,CLEANCO SUPPLY,cleaning supplies,1,51.48,51.48
2023-08-26,Party Time Balloons,BALLOON ARCH,1,38.00,38.00
2023-08-26,Party Time Balloons,Centerpiece,5,6.50,32.50
8/26/23,Tonys Pizza,party pizza,2,"$34.00",68.00
2023-08-26,Theme Party Decor,themed decor kit,2,"$32.00",64.00
2023-08-09,Party Time Balloons LLC,Balloon Arch,1,38.00,"$38.00"
8/9/23,Party Time Balloons LLC,centerpiece,4,"$6.50","$26.00"
08/09/2023,Tony's Pizza Co.,Party Pizza,4,34.00,136.00
8/9/23,Theme Party Decor Co,Themed Decor Kit,3,32.00,"$96.00"
08/20/2023,Party Time Balloons LLC,BALLOON ARCH,1,38.00,38.00
2023-08-20,Party Time Balloons LLC,Centerpiece,6,6.50,39.00
8/20/23,Tonys Pizza,PARTY PIZZA,2,34.00,"$68.00"
2023-08-20,Theme Party Decor Co,Themed Decor Kit,2,32.00,64.00
08/31/2023,Party Time Balloon Co.,balloon arch,1,"$38.00",38.00
8/31/23,Party Time Balloon Co.,Centerpiece,7,6.50,"$45.50"
2023-08-31,Tony's Pizza,party pizza,3,34.00,102.00
8/31/23,Theme Party Decor,themed decor kit,2,32.00,64.00
2023-08-12,Party Time Balloons,BALLOON ARCH,1,38.00,38.00
08/12/2023,Party Time Balloons,centerpiece,2,6.50,13.00
08/12/2023,Tony's Pizza,PARTY PIZZA,4,"$34.00","$136.00"
2023-08-12,THEME PARTY DECOR CO.,themed decor kit,2,"$32.00","$64.00"
2023-08-08,Party Time Balloons,Balloon Arch,1,"$38.00",38.00
2023-08-08,Party Time Balloons,Centerpiece,4,6.50,"$26.00"
2023-08-08,Tony's Pizza,Party Pizza,5,34.00,170.00
08/08/2023,Theme Party Decor Co,themed decor kit,2,32.00,64.00
08/26/2023,PARTY TIME BALLOONS,balloon arch,1,38.00,38.00
8/26/23,PARTY TIME BALLOONS,centerpiece,6,6.50,"$39.00"
2023-08-26,Tony's Pizza,PARTY PIZZA,4,"$34.00",136.00
8/26/23,THEME PARTY DECOR CO.,Themed Decor Kit,3,32.00,"$96.00"
8/7/23,Party Time Balloon Co.,balloon arch,1,"$38.00",38.00
8/7/23,Party Time Balloon Co.,centerpiece,7,6.50,45.50
8/7/23,TONY'S PIZZA CO,PARTY PIZZA,3,34.00,"$102.00"
08/07/2023,Theme Party Decor Co,Themed Decor Kit,2,32.00,"$64.00"
8/16/23,Party Time Balloons LLC,balloon arch,1,"$38.00",38.00
